Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Fps_Controller_API,,,2019-07-18 12:47:28,2019-07-18 12:47:41,13.011s,FAILED
,,,,,,
Test Cases/Fps_Controller_API/Fps_Controller_Verify_Response_with_valid_Values,,,2019-07-18 12:47:29,2019-07-18 12:47:34,5.069s,PASSED
"response = sendRequest(findTestObject(""Fps_Controller_API/Fps_Controller_Verify_Response_with_valid_Values""))",,,2019-07-18 12:47:30,2019-07-18 12:47:33,3.365s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-18 12:47:33,2019-07-18 12:47:33,0.024s,PASSED
"verifyElementPropertyValue(response, ""[0].type"", type)",,,2019-07-18 12:47:33,2019-07-18 12:47:33,0.102s,PASSED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-07-18 12:47:33,2019-07-18 12:47:33,0.037s,PASSED
"verifyElementPropertyValue(response, ""[0].application"", application)",,,2019-07-18 12:47:33,2019-07-18 12:47:33,0.041s,PASSED
"verifyElementPropertyValue(response, ""[0].function"", function)",,,2019-07-18 12:47:33,2019-07-18 12:47:33,0.041s,PASSED
"verifyElementPropertyValue(response, ""[0].sequence"", sequence)",,,2019-07-18 12:47:33,2019-07-18 12:47:33,0.037s,PASSED
"verifyElementPropertyValue(response, ""[0].screenId"", screenId)",,,2019-07-18 12:47:33,2019-07-18 12:47:33,0.031s,PASSED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-07-18 12:47:33,2019-07-18 12:47:33,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].statusCode"", statusCode)",,,2019-07-18 12:47:33,2019-07-18 12:47:33,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].dgAction"", dgAction)",,,2019-07-18 12:47:33,2019-07-18 12:47:34,0.033s,PASSED
"verifyElementPropertyValue(response, ""[0].initActivity"", initActivity)",,,2019-07-18 12:47:34,2019-07-18 12:47:34,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].initType"", initType)",,,2019-07-18 12:47:34,2019-07-18 12:47:34,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].displayFirst"", displayFirst)",,,2019-07-18 12:47:34,2019-07-18 12:47:34,0.029s,PASSED
"verifyElementPropertyValue(response, ""[0].displayActivity"", displayActivity)",,,2019-07-18 12:47:34,2019-07-18 12:47:34,0.034s,PASSED
"verifyElementPropertyValue(response, ""[0].dblockActivity"", dblockActivity)",,,2019-07-18 12:47:34,2019-07-18 12:47:34,0.039s,PASSED
"verifyElementPropertyValue(response, ""[0].linkactivity"", linkactivity)",,,2019-07-18 12:47:34,2019-07-18 12:47:34,0.041s,PASSED
"verifyElementPropertyValue(response, ""[0].userEnrollment"", userEnrollment)",,,2019-07-18 12:47:34,2019-07-18 12:47:34,0.029s,PASSED
"verifyElementPropertyValue(response, ""[0].establishedNewLevel"", establishedNewLevel)",,,2019-07-18 12:47:34,2019-07-18 12:47:34,0.025s,PASSED
"verifyElementPropertyValue(response, ""[0].fpskeyApplication"", fpskeyApplication)",,,2019-07-18 12:47:34,2019-07-18 12:47:34,0.027s,PASSED
"verifyElementPropertyValue(response, ""[0].fpskeyFunction"", fpskeyFunction)",,,2019-07-18 12:47:34,2019-07-18 12:47:34,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].fpskeySequence"", fpskeySequence)",,,2019-07-18 12:47:34,2019-07-18 12:47:34,0.026s,PASSED
"verifyElementPropertyValue(response, ""[0].highUseIndicator"", highUseIndicator)",,,2019-07-18 12:47:34,2019-07-18 12:47:34,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].efskey"", efskey)",,,2019-07-18 12:47:34,2019-07-18 12:47:34,0.031s,PASSED
"verifyElementPropertyValue(response, ""[0].efsaction"", efsaction)",,,2019-07-18 12:47:34,2019-07-18 12:47:34,0.027s,PASSED
