Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sps_Controller_API,,,2019-07-16 16:46:11,2019-07-16 16:46:23,11.102s,FAILED
,,,,,,
Test Cases/Sps_Controller_API/Sps_Controller_Verify_Response_with_valid_Values,,,2019-07-16 16:46:12,2019-07-16 16:46:17,5.476s,PASSED
"response = sendRequest(findTestObject(""Sps_Controller_API/Sps_Controller_Verify_Response_with_valid_Values""))",,,2019-07-16 16:46:13,2019-07-16 16:46:17,3.860s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-16 16:46:17,2019-07-16 16:46:17,0.027s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.type"", rpt_type)",,,2019-07-16 16:46:17,2019-07-16 16:46:17,0.087s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.owner"", rpt_owner)",,,2019-07-16 16:46:17,2019-07-16 16:46:17,0.029s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.dsId1"", rpt_dsId1)",,,2019-07-16 16:46:17,2019-07-16 16:46:17,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.comp"", rpt_comp)",,,2019-07-16 16:46:17,2019-07-16 16:46:17,0.035s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.pass"", rpt_pass)",,,2019-07-16 16:46:17,2019-07-16 16:46:17,0.026s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.dsId2"", rpt_dsId2)",,,2019-07-16 16:46:17,2019-07-16 16:46:17,0.050s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.reportId"", rpt_reportId)",,,2019-07-16 16:46:17,2019-07-16 16:46:17,0.044s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.criticalRpt"", rpt_criticalRpt)",,,2019-07-16 16:46:17,2019-07-16 16:46:17,0.041s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.description"", rpt_description)",,,2019-07-16 16:46:17,2019-07-16 16:46:17,0.047s,PASSED
"verifyElementPropertyValue(response, ""[0].bor.type"", bor_type)",,,2019-07-16 16:46:17,2019-07-16 16:46:17,0.040s,PASSED
