Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Program_Controller_API,,,2019-06-18 19:30:49,2019-06-18 19:31:06,17.341s,FAILED
,,,,,,
Test Cases/Program_Controller_API/Program_Controller_Verify_Response_with_valid_Values,,,2019-06-18 19:30:50,2019-06-18 19:30:58,8.159s,PASSED
"response = sendRequest(findTestObject(""Program_Controller_API/Program_Controller_Verify_Response_with_valid_Values""))",,,2019-06-18 19:30:51,2019-06-18 19:30:58,6.561s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-18 19:30:58,2019-06-18 19:30:58,0.039s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.type"", pgm_type)",,,2019-06-18 19:30:58,2019-06-18 19:30:58,0.114s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.owner"", pgm_owner)",,,2019-06-18 19:30:58,2019-06-18 19:30:58,0.026s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.pgmId"", pgm_pgmId)",,,2019-06-18 19:30:58,2019-06-18 19:30:58,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.linkName"", pgm_linkName)",,,2019-06-18 19:30:58,2019-06-18 19:30:58,0.050s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.description"", pgm_description)",,,2019-06-18 19:30:58,2019-06-18 19:30:58,0.060s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.language"", pgm_language)",,,2019-06-18 19:30:58,2019-06-18 19:30:58,0.046s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.status"", pgm_status)",,,2019-06-18 19:30:58,2019-06-18 19:30:58,0.037s,PASSED
"verifyElementPropertyValue(response, ""[0].pdg.type"", pdg_type)",,,2019-06-18 19:30:58,2019-06-18 19:30:58,0.038s,PASSED
"verifyElementPropertyValue(response, ""[0].pdg.number"", pdg_number)",,,2019-06-18 19:30:58,2019-06-18 19:30:58,0.027s,PASSED
"verifyElementPropertyValue(response, ""[0].pdg.dgNumberList"", pdg_dgNumberList)",,,2019-06-18 19:30:58,2019-06-18 19:30:58,0.025s,PASSED
"verifyElementPropertyValue(response, ""[0].pac.type"", pac_type)",,,2019-06-18 19:30:58,2019-06-18 19:30:58,0.026s,PASSED
"verifyElementPropertyValue(response, ""[0].pac.number"", pac_number)",,,2019-06-18 19:30:58,2019-06-18 19:30:58,0.025s,PASSED
"verifyElementPropertyValue(response, ""[0].pac.actNumbersList"", pac_act_NumbersList)",,,2019-06-18 19:30:58,2019-06-18 19:30:58,0.028s,PASSED
,,,,,,
Test Cases/Program_Controller_API/Program_Controller_Verify_Response_with_Empty_Values,,,2019-06-18 19:30:58,2019-06-18 19:31:00,1.413s,FAILED
"response = sendRequest(findTestObject(""Program_Controller_API/Program_Controller_Verify_Response_with_Empty_Values""))",,,2019-06-18 19:30:59,2019-06-18 19:30:59,0.400s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-18 19:30:59,2019-06-18 19:30:59,0.002s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.type"", pgm_type)",,,2019-06-18 19:30:59,2019-06-18 19:30:59,0.036s,FAILED
"verifyElementPropertyValue(response, ""[0].pgm.owner"", pgm_owner)",,,2019-06-18 19:30:59,2019-06-18 19:30:59,0.061s,FAILED
"verifyElementPropertyValue(response, ""[0].pgm.pgmId"", pgm_pgmId)",,,2019-06-18 19:30:59,2019-06-18 19:30:59,0.031s,FAILED
"verifyElementPropertyValue(response, ""[0].pgm.linkName"", pgm_linkName)",,,2019-06-18 19:30:59,2019-06-18 19:30:59,0.034s,FAILED
"verifyElementPropertyValue(response, ""[0].pgm.description"", pgm_description)",,,2019-06-18 19:30:59,2019-06-18 19:30:59,0.035s,FAILED
"verifyElementPropertyValue(response, ""[0].pgm.language"", pgm_language)",,,2019-06-18 19:30:59,2019-06-18 19:31:00,0.080s,FAILED
"verifyElementPropertyValue(response, ""[0].pgm.status"", pgm_status)",,,2019-06-18 19:31:00,2019-06-18 19:31:00,0.037s,FAILED
"verifyElementPropertyValue(response, ""[0].pdg.type"", pdg_type)",,,2019-06-18 19:31:00,2019-06-18 19:31:00,0.033s,FAILED
"verifyElementPropertyValue(response, ""[0].pdg.number"", pdg_number)",,,2019-06-18 19:31:00,2019-06-18 19:31:00,0.044s,FAILED
"verifyElementPropertyValue(response, ""[0].pdg.dgNumberList"", pdg_dgNumberList)",,,2019-06-18 19:31:00,2019-06-18 19:31:00,0.034s,FAILED
"verifyElementPropertyValue(response, ""[0].pac.type"", pac_type)",,,2019-06-18 19:31:00,2019-06-18 19:31:00,0.036s,FAILED
"verifyElementPropertyValue(response, ""[0].pac.number"", pac_number)",,,2019-06-18 19:31:00,2019-06-18 19:31:00,0.033s,FAILED
"verifyElementPropertyValue(response, ""[0].pac.actNumbersList"", pac_act_NumbersList)",,,2019-06-18 19:31:00,2019-06-18 19:31:00,0.043s,FAILED
,,,,,,
Test Cases/Program_Controller_API/Program_Controller_Verify_Response__with_Invalid_Values,,,2019-06-18 19:31:00,2019-06-18 19:31:01,1.549s,FAILED
"response = sendRequest(findTestObject(""Program_Controller_API/Program_Controller_Verify_Response__with_Invalid_Values""))",,,2019-06-18 19:31:00,2019-06-18 19:31:01,0.481s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-18 19:31:01,2019-06-18 19:31:01,0.002s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.type"", pgm_type)",,,2019-06-18 19:31:01,2019-06-18 19:31:01,0.031s,FAILED
"verifyElementPropertyValue(response, ""[0].pgm.owner"", pgm_owner)",,,2019-06-18 19:31:01,2019-06-18 19:31:01,0.033s,FAILED
