Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sim_Controller_API,,,2019-06-24 13:41:25,2019-06-24 13:41:36,11.496s,FAILED
,,,,,,
Test Cases/Sim_Controller_API/Sim_Controller_Verify_Response_with_valid_Values,,,2019-06-24 13:41:26,2019-06-24 13:41:31,5.350s,PASSED
"response = sendRequest(findTestObject(""Sim_Controller_API/Sim_Controller_Verify_Response_with_valid_Values""))",,,2019-06-24 13:41:27,2019-06-24 13:41:30,3.730s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-24 13:41:30,2019-06-24 13:41:30,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].type"", type)",,,2019-06-24 13:41:30,2019-06-24 13:41:31,0.170s,PASSED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-06-24 13:41:31,2019-06-24 13:41:31,0.035s,PASSED
"verifyElementPropertyValue(response, ""[0].function"", function)",,,2019-06-24 13:41:31,2019-06-24 13:41:31,0.042s,PASSED
"verifyElementPropertyValue(response, ""[0].destination"", destination)",,,2019-06-24 13:41:31,2019-06-24 13:41:31,0.040s,PASSED
"verifyElementPropertyValue(response, ""[0].version"", version)",,,2019-06-24 13:41:31,2019-06-24 13:41:31,0.025s,PASSED
"verifyElementPropertyValue(response, ""[0].funcAvailable"", funcAvailable)",,,2019-06-24 13:41:31,2019-06-24 13:41:31,0.054s,PASSED
"verifyElementPropertyValue(response, ""[0].interfaceAct"", interfaceAct)",,,2019-06-24 13:41:31,2019-06-24 13:41:31,0.038s,PASSED
"verifyElementPropertyValue(response, ""[0].compNo"", compNo)",,,2019-06-24 13:41:31,2019-06-24 13:41:31,0.054s,PASSED
"verifyElementPropertyValue(response, ""[0].parameterN1"", parameterN1)",,,2019-06-24 13:41:31,2019-06-24 13:41:31,0.047s,PASSED
"verifyElementPropertyValue(response, ""[0].parameterN2"", parameterN2)",,,2019-06-24 13:41:31,2019-06-24 13:41:31,0.040s,PASSED
"verifyElementPropertyValue(response, ""[0].c1"", c1)",,,2019-06-24 13:41:31,2019-06-24 13:41:31,0.063s,PASSED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-06-24 13:41:31,2019-06-24 13:41:31,0.058s,PASSED
,,,,,,
Test Cases/Sim_Controller_API/Sim_Controller_Verify_Response_with_Empty_Values,,,2019-06-24 13:41:31,2019-06-24 13:41:32,1.263s,FAILED
"response = sendRequest(findTestObject(""Sim_Controller_API/Sim_Controller_Verify_Response_with_Empty_Values""))",,,2019-06-24 13:41:32,2019-06-24 13:41:32,0.219s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-24 13:41:32,2019-06-24 13:41:32,0.003s,PASSED
"verifyElementPropertyValue(response, ""[0].type"", type)",,,2019-06-24 13:41:32,2019-06-24 13:41:32,0.061s,FAILED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-06-24 13:41:32,2019-06-24 13:41:32,0.057s,FAILED
"verifyElementPropertyValue(response, ""[0].function"", function)",,,2019-06-24 13:41:32,2019-06-24 13:41:32,0.041s,FAILED
"verifyElementPropertyValue(response, ""[0].destination"", destination)",,,2019-06-24 13:41:32,2019-06-24 13:41:32,0.035s,FAILED
"verifyElementPropertyValue(response, ""[0].version"", version)",,,2019-06-24 13:41:32,2019-06-24 13:41:32,0.035s,FAILED
"verifyElementPropertyValue(response, ""[0].funcAvailable"", funcAvailable)",,,2019-06-24 13:41:32,2019-06-24 13:41:32,0.058s,FAILED
"verifyElementPropertyValue(response, ""[0].interfaceAct"", interfaceAct)",,,2019-06-24 13:41:32,2019-06-24 13:41:32,0.100s,FAILED
"verifyElementPropertyValue(response, ""[0].compNo"", compNo)",,,2019-06-24 13:41:32,2019-06-24 13:41:32,0.036s,FAILED
"verifyElementPropertyValue(response, ""[0].parameterN1"", parameterN1)",,,2019-06-24 13:41:32,2019-06-24 13:41:32,0.025s,FAILED
"verifyElementPropertyValue(response, ""[0].parameterN2"", parameterN2)",,,2019-06-24 13:41:32,2019-06-24 13:41:32,0.033s,FAILED
"verifyElementPropertyValue(response, ""[0].c1"", c1)",,,2019-06-24 13:41:32,2019-06-24 13:41:32,0.029s,FAILED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-06-24 13:41:32,2019-06-24 13:41:32,0.045s,FAILED
,,,,,,
Test Cases/Sim_Controller_API/Sim_Controller_Verify_Response__with_Invalid_Values,,,2019-06-24 13:41:32,2019-06-24 13:41:33,0.823s,FAILED
"response = sendRequest(findTestObject(""Sim_Controller_API/Sim_Controller_Verify_Response__with_Invalid_Values""))",,,2019-06-24 13:41:33,2019-06-24 13:41:33,0.167s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-24 13:41:33,2019-06-24 13:41:33,0.000s,PASSED
"verifyElementPropertyValue(response, ""[0].type"", type)",,,2019-06-24 13:41:33,2019-06-24 13:41:33,0.038s,FAILED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-06-24 13:41:33,2019-06-24 13:41:33,0.031s,FAILED
"verifyElementPropertyValue(response, ""[0].function"", function)",,,2019-06-24 13:41:33,2019-06-24 13:41:33,0.031s,FAILED
"verifyElementPropertyValue(response, ""[0].destination"", destination)",,,2019-06-24 13:41:33,2019-06-24 13:41:33,0.038s,FAILED
"verifyElementPropertyValue(response, ""[0].version"", version)",,,2019-06-24 13:41:33,2019-06-24 13:41:33,0.032s,FAILED
"verifyElementPropertyValue(response, ""[0].funcAvailable"", funcAvailable)",,,2019-06-24 13:41:33,2019-06-24 13:41:33,0.015s,FAILED
"verifyElementPropertyValue(response, ""[0].interfaceAct"", interfaceAct)",,,2019-06-24 13:41:33,2019-06-24 13:41:33,0.031s,FAILED
"verifyElementPropertyValue(response, ""[0].compNo"", compNo)",,,2019-06-24 13:41:33,2019-06-24 13:41:33,0.023s,FAILED
"verifyElementPropertyValue(response, ""[0].parameterN1"", parameterN1)",,,2019-06-24 13:41:33,2019-06-24 13:41:33,0.031s,FAILED
"verifyElementPropertyValue(response, ""[0].parameterN2"", parameterN2)",,,2019-06-24 13:41:33,2019-06-24 13:41:33,0.015s,FAILED
"verifyElementPropertyValue(response, ""[0].c1"", c1)",,,2019-06-24 13:41:33,2019-06-24 13:41:33,0.032s,FAILED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-06-24 13:41:33,2019-06-24 13:41:33,0.037s,FAILED
,,,,,,
Test Cases/Sim_Controller_API/Sim_Controller_Verify_Response_with_Invalid_parameters,,,2019-06-24 13:41:33,2019-06-24 13:41:34,0.594s,PASSED
