Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Map_Controller_API,,,2019-07-19 15:21:22,2019-07-19 15:21:36,13.588s,FAILED
,,,,,,
Test Cases/Map_Controller_API/Map_Controller_Verify_Response_with_valid_Values,,,2019-07-19 15:21:22,2019-07-19 15:21:29,6.332s,PASSED
"response = sendRequest(findTestObject(""Map_Controller_API/Map_Controller_Verify_Response_with_valid_Values""))",,,2019-07-19 15:21:23,2019-07-19 15:21:28,4.683s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-19 15:21:28,2019-07-19 15:21:28,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].typ"", typ)",,,2019-07-19 15:21:28,2019-07-19 15:21:28,0.078s,PASSED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-07-19 15:21:28,2019-07-19 15:21:28,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].language"", language)",,,2019-07-19 15:21:28,2019-07-19 15:21:28,0.046s,PASSED
"verifyElementPropertyValue(response, ""[0].mapName"", mapName)",,,2019-07-19 15:21:28,2019-07-19 15:21:28,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].device"", device)",,,2019-07-19 15:21:28,2019-07-19 15:21:28,0.035s,PASSED
"verifyElementPropertyValue(response, ""[0].compGroup"", compGroup)",,,2019-07-19 15:21:28,2019-07-19 15:21:28,0.037s,PASSED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-07-19 15:21:28,2019-07-19 15:21:28,0.037s,PASSED
"verifyElementPropertyValue(response, ""[0].linkname"", linkname)",,,2019-07-19 15:21:28,2019-07-19 15:21:28,0.044s,PASSED
"verifyElementPropertyValue(response, ""[0].type"", type)",,,2019-07-19 15:21:28,2019-07-19 15:21:28,0.034s,PASSED
"verifyElementPropertyValue(response, ""[0].txn"", txn)",,,2019-07-19 15:21:28,2019-07-19 15:21:28,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].extendedAttribute"", extendedAttribute)",,,2019-07-19 15:21:28,2019-07-19 15:21:29,0.038s,PASSED
"verifyElementPropertyValue(response, ""[0].dynamicTxnCode"", dynamicTxnCode)",,,2019-07-19 15:21:29,2019-07-19 15:21:29,0.034s,PASSED
"verifyElementPropertyValue(response, ""[0].defExtendedAttribute"", defExtendedAttribute)",,,2019-07-19 15:21:29,2019-07-19 15:21:29,0.033s,PASSED
