Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Map_Controller_API,,,2019-07-16 17:57:16,2019-07-16 17:57:29,12.735s,FAILED
,,,,,,
Test Cases/Map_Controller_API/Map_Controller_Verify_Response_with_valid_Values,,,2019-07-16 17:57:17,2019-07-16 17:57:23,6.217s,PASSED
"response = sendRequest(findTestObject(""Map_Controller_API/Map_Controller_Verify_Response_with_valid_Values""))",,,2019-07-16 17:57:18,2019-07-16 17:57:22,4.248s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-16 17:57:22,2019-07-16 17:57:22,0.026s,PASSED
"verifyElementPropertyValue(response, ""[0].typ"", typ)",,,2019-07-16 17:57:22,2019-07-16 17:57:22,0.076s,PASSED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-07-16 17:57:22,2019-07-16 17:57:22,0.025s,PASSED
"verifyElementPropertyValue(response, ""[0].language"", language)",,,2019-07-16 17:57:22,2019-07-16 17:57:22,0.031s,PASSED
"verifyElementPropertyValue(response, ""[0].mapName"", mapName)",,,2019-07-16 17:57:22,2019-07-16 17:57:22,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].device"", device)",,,2019-07-16 17:57:22,2019-07-16 17:57:22,0.035s,PASSED
"verifyElementPropertyValue(response, ""[0].compGroup"", compGroup)",,,2019-07-16 17:57:22,2019-07-16 17:57:22,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-07-16 17:57:22,2019-07-16 17:57:22,0.035s,PASSED
"verifyElementPropertyValue(response, ""[0].linkname"", linkname)",,,2019-07-16 17:57:22,2019-07-16 17:57:23,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].type"", type)",,,2019-07-16 17:57:23,2019-07-16 17:57:23,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].txn"", txn)",,,2019-07-16 17:57:23,2019-07-16 17:57:23,0.038s,PASSED
"verifyElementPropertyValue(response, ""[0].extendedAttribute"", extendedAttribute)",,,2019-07-16 17:57:23,2019-07-16 17:57:23,0.034s,PASSED
"verifyElementPropertyValue(response, ""[0].dynamicTxnCode"", dynamicTxnCode)",,,2019-07-16 17:57:23,2019-07-16 17:57:23,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].defExtendedAttribute"", defExtendedAttribute)",,,2019-07-16 17:57:23,2019-07-16 17:57:23,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].txnAttribute"", txnAttribute)",,,2019-07-16 17:57:23,2019-07-16 17:57:23,0.035s,PASSED
"verifyElementPropertyValue(response, ""[0].nonPemMapIndicator"", nonPemMapIndicator)",,,2019-07-16 17:57:23,2019-07-16 17:57:23,0.036s,PASSED
"verifyElementPropertyValue(response, ""[0].mapType"", mapType)",,,2019-07-16 17:57:23,2019-07-16 17:57:23,0.049s,PASSED
"verifyElementPropertyValue(response, ""[0].noOfDg"", noOfDg)",,,2019-07-16 17:57:23,2019-07-16 17:57:23,0.033s,PASSED
"verifyElementPropertyValue(response, ""[0].dgNumbers"", dgNumbers)",,,2019-07-16 17:57:23,2019-07-16 17:57:23,0.035s,PASSED
,,,,,,
Test Cases/Map_Controller_API/Map_Controller_Verify_Response_with_Empty_Values,,,2019-07-16 17:57:23,2019-07-16 17:57:24,1.232s,FAILED
"response = sendRequest(findTestObject(""Map_Controller_API/Map_Controller_Verify_Response_with_Empty_Values""))",,,2019-07-16 17:57:23,2019-07-16 17:57:24,0.310s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-16 17:57:24,2019-07-16 17:57:24,0.001s,PASSED
"verifyElementPropertyValue(response, ""[0].typ"", typ)",,,2019-07-16 17:57:24,2019-07-16 17:57:24,0.030s,FAILED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-07-16 17:57:24,2019-07-16 17:57:24,0.022s,FAILED
"verifyElementPropertyValue(response, ""[0].language"", language)",,,2019-07-16 17:57:24,2019-07-16 17:57:24,0.024s,FAILED
"verifyElementPropertyValue(response, ""[0].mapName"", mapName)",,,2019-07-16 17:57:24,2019-07-16 17:57:24,0.025s,FAILED
"verifyElementPropertyValue(response, ""[0].device"", device)",,,2019-07-16 17:57:24,2019-07-16 17:57:24,0.045s,FAILED
"verifyElementPropertyValue(response, ""[0].compGroup"", compGroup)",,,2019-07-16 17:57:24,2019-07-16 17:57:24,0.023s,FAILED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-07-16 17:57:24,2019-07-16 17:57:24,0.027s,FAILED
"verifyElementPropertyValue(response, ""[0].linkname"", linkname)",,,2019-07-16 17:57:24,2019-07-16 17:57:24,0.024s,FAILED
"verifyElementPropertyValue(response, ""[0].type"", type)",,,2019-07-16 17:57:24,2019-07-16 17:57:24,0.029s,FAILED
"verifyElementPropertyValue(response, ""[0].txn"", txn)",,,2019-07-16 17:57:24,2019-07-16 17:57:24,0.032s,FAILED
"verifyElementPropertyValue(response, ""[0].extendedAttribute"", extendedAttribute)",,,2019-07-16 17:57:24,2019-07-16 17:57:24,0.022s,FAILED
