Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Program_Controller_API,,,2019-07-03 12:10:26,2019-07-03 12:10:40,13.499s,FAILED
,,,,,,
Test Cases/Program_Controller_API/Program_Controller_Verify_Response_with_valid_Values,,,2019-07-03 12:10:27,2019-07-03 12:10:33,6.221s,PASSED
"response = sendRequest(findTestObject(""Program_Controller_API/Program_Controller_Verify_Response_with_valid_Values""))",,,2019-07-03 12:10:27,2019-07-03 12:10:32,4.880s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-03 12:10:32,2019-07-03 12:10:32,0.044s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.type"", pgm_type)",,,2019-07-03 12:10:32,2019-07-03 12:10:32,0.117s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.owner"", pgm_owner)",,,2019-07-03 12:10:32,2019-07-03 12:10:32,0.033s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.pgmId"", pgm_pgmId)",,,2019-07-03 12:10:32,2019-07-03 12:10:32,0.033s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.linkName"", pgm_linkName)",,,2019-07-03 12:10:32,2019-07-03 12:10:32,0.036s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.description"", pgm_description)",,,2019-07-03 12:10:32,2019-07-03 12:10:32,0.079s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.language"", pgm_language)",,,2019-07-03 12:10:32,2019-07-03 12:10:32,0.045s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.status"", pgm_status)",,,2019-07-03 12:10:32,2019-07-03 12:10:32,0.031s,PASSED
"verifyElementPropertyValue(response, ""[0].pdg.type"", pdg_type)",,,2019-07-03 12:10:32,2019-07-03 12:10:32,0.027s,PASSED
"verifyElementPropertyValue(response, ""[0].pdg.number"", pdg_number)",,,2019-07-03 12:10:33,2019-07-03 12:10:33,0.057s,PASSED
"verifyElementPropertyValue(response, ""[0].pdg.dgNumberList"", pdg_dgNumberList)",,,2019-07-03 12:10:33,2019-07-03 12:10:33,0.043s,PASSED
"verifyElementPropertyValue(response, ""[0].pac.type"", pac_type)",,,2019-07-03 12:10:33,2019-07-03 12:10:33,0.044s,PASSED
"verifyElementPropertyValue(response, ""[0].pac.number"", pac_number)",,,2019-07-03 12:10:33,2019-07-03 12:10:33,0.040s,PASSED
"verifyElementPropertyValue(response, ""[0].pac.actNumbersList"", pac_act_NumbersList)",,,2019-07-03 12:10:33,2019-07-03 12:10:33,0.028s,PASSED
,,,,,,
Test Cases/Program_Controller_API/Program_Controller_Verify_Response_with_Empty_Values,,,2019-07-03 12:10:33,2019-07-03 12:10:34,1.412s,FAILED
"response = sendRequest(findTestObject(""Program_Controller_API/Program_Controller_Verify_Response_with_Empty_Values""))",,,2019-07-03 12:10:33,2019-07-03 12:10:34,0.385s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-03 12:10:34,2019-07-03 12:10:34,0.003s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.type"", pgm_type)",,,2019-07-03 12:10:34,2019-07-03 12:10:34,0.052s,FAILED
"verifyElementPropertyValue(response, ""[0].pgm.owner"", pgm_owner)",,,2019-07-03 12:10:34,2019-07-03 12:10:34,0.043s,FAILED
"verifyElementPropertyValue(response, ""[0].pgm.pgmId"", pgm_pgmId)",,,2019-07-03 12:10:34,2019-07-03 12:10:34,0.037s,FAILED
